tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1500980133611585541,intraday_watch,Intraday Watch,https://pbs.twimg.com/profile_images/1388092815176085505/3A5aFepY_normal.jpg,0,0,0,False,2022-03-07T23:42:05+00:00,"As 5 ações  mais negociadas hoje (07/03/2022) foram

1 VALE3 5806.54 3.04% (R$105.07) 
2 PETR4 3664.66 -7.1% (R$31.8) 
3 ITUB4 1280.1 -2.15% (R$24.14) 
4 PETR3 1116.79 -7.65% (R$34.14) 
5 BBDC4 927.53 -2.56% (R$19.41)",[],[],[],[],https://twitter.com/intraday_watch/status/1500980133611585541,
1500978089999876100,fabiofocus,fabio focus,https://pbs.twimg.com/profile_images/1503511135122771968/F3kbj3XW_normal.jpg,0,0,1,False,2022-03-07T23:33:58+00:00,Estatal vc já compra com desconto por ser ou PETR4 privatizada quanto estaria hj ? O dobro no mínimo.,[],[],[],[],https://twitter.com/fabiofocus/status/1500978089999876100,
1500974382700797955,sunonoticias,Suno Notícias,https://pbs.twimg.com/profile_images/1579891782392991745/AFbbx0Fg_normal.jpg,0,0,5,False,2022-03-07T23:19:14+00:00,Riscos para a Petrobras (PETR4): governo avalia congelar preços; ações despencam -,[],[],[],[],https://twitter.com/sunonoticias/status/1500974382700797955,https://t.co/fTpWCX9dhw
1500974290577104898,elaicosmg,"ELAINE COIMBRA, CFP®",https://pbs.twimg.com/profile_images/1499160467729698817/Q1Il9YUN_normal.jpg,0,0,5,False,2022-03-07T23:18:52+00:00," Dividendos pagos pela Petrobras (PETR3; PETR4) à União p/ bancar subsídio aos combustíveis é vetado por lei.A legislação manda que esses recursos sejam destinados à amortização da dívida pública,que é despesa não primária e fora do teto.",[],[],[],[],https://twitter.com/elaicosmg/status/1500974290577104898,
1500974105335668743,Gamafintwit,João P. P. | Gama Educação Financeira,https://pbs.twimg.com/profile_images/1217943603869253632/2GBzMu0B_normal.jpg,0,0,1,False,2022-03-07T23:18:08+00:00,Quer saber como fechou a ADR de PETR4 (PBR) ? O fechamento de hoje foi 13.36.,[],[],[],[],https://twitter.com/Gamafintwit/status/1500974105335668743,
1500973348452511748,jonathanllite,Jonathan L.,https://pbs.twimg.com/profile_images/1512054090259435522/jTZEopRz_normal.jpg,0,0,3,False,2022-03-07T23:15:07+00:00,"Não sei o q é pior, a Merda na PETR4 ou a merda no país com a Gasolina a 8,00/9,00. Acho q petr4 aguenta mais o tranco que o povo.",[],[],[],[],https://twitter.com/jonathanllite/status/1500973348452511748,
1500972657591955460,AnaliseEnergia,Luciano Costa,https://pbs.twimg.com/profile_images/1573468129912553488/au0cClRw_normal.jpg,0,6,12,False,2022-03-07T23:12:22+00:00,"Governo estaria estudando propor congelamento temporário de preços da Petrobras para combustíveis devido à guerra na Ucrânia, segundo 
@folha
; avaliação é de que seria possível pedir ""colaboração dos acionistas"" da companhia após lucro recorde de 2021 #PETR4 - via 
@AprendaComTC",['PETR4'],"['folha', 'AprendaComTC']",['https://pbs.twimg.com/media/FNSGHfGXwAQw9K0?format=jpg&name=small'],[],https://twitter.com/AnaliseEnergia/status/1500972657591955460,
1501346752682725378,cc_trevisani,Claudio Trevisan,https://pbs.twimg.com/profile_images/1357745738063745024/75zHwebY_normal.jpg,1,0,4,True,2022-03-08T23:58:54+00:00,"Vou vender meu carro, comprar uma bicicleta e investir o restante na petr4",[],[],[],[],https://twitter.com/cc_trevisani/status/1501346752682725378,
1501345083127328770,intraday_watch,Intraday Watch,https://pbs.twimg.com/profile_images/1388092815176085505/3A5aFepY_normal.jpg,0,0,0,False,2022-03-08T23:52:16+00:00,"As 5 ações  mais negociadas hoje (08/03/2022) foram

1 VALE3 5423.71 -4.39% (R$100.46) 
2 PETR4 3613.06 2.08% (R$32.46) 
3 PETR3 1285.01 1.61% (R$34.69) 
4 PRIO3 1228.51 1.42% (R$27.94) 
5 BBDC4 1219.83 1.29% (R$19.66)",[],[],[],[],https://twitter.com/intraday_watch/status/1501345083127328770,
1501341007169802242,Against_State,Contra o Estado,https://pbs.twimg.com/profile_images/1404947865819095045/QcP3x5gp_normal.jpg,1,0,0,False,2022-03-08T23:36:04+00:00,PETRÓLEO EM ALTA: Hora de investir na Petrobras e ganhar dinheiro com dividendos? #INFLAÇÃO #PETR4,"['INFLAÇÃO', 'PETR4']",[],[],[],https://twitter.com/Against_State/status/1501341007169802242,
1501341007043915777,The_New_Finance,The New Finance,https://pbs.twimg.com/profile_images/1251898963927748614/n7v8LrL8_normal.jpg,1,0,0,False,2022-03-08T23:36:04+00:00,PETRÓLEO EM ALTA: Hora de investir na Petrobras e ganhar dinheiro com dividendos? #INFLAÇÃO #PETR4,"['INFLAÇÃO', 'PETR4']",[],[],[],https://twitter.com/The_New_Finance/status/1501341007043915777,
1501336659656249344,garciafelipe,Felipe Garcia,https://pbs.twimg.com/profile_images/1577628411614224384/s0g6Ir-G_normal.png,1,1,1,False,2022-03-08T23:18:47+00:00,E essas volatilidades implícitas de petr4 ? ,[],[],[],[],https://twitter.com/garciafelipe/status/1501336659656249344,
1501336464637968384,Gamafintwit,João P. P. | Gama Educação Financeira,https://pbs.twimg.com/profile_images/1217943603869253632/2GBzMu0B_normal.jpg,0,0,0,False,2022-03-08T23:18:01+00:00,Quer saber como fechou a ADR de PETR4 (PBR) ? O fechamento de hoje foi 13.71.,[],[],[],[],https://twitter.com/Gamafintwit/status/1501336464637968384,
1501331337403420673,TPrux,Tiago Prux,https://pbs.twimg.com/profile_images/1166847941274951680/ciPPteVn_normal.jpg,1,0,5,False,2022-03-08T22:57:38+00:00,"VENDA DE PETR4 | É HORA DE VENDER PETROBRAS https://youtu.be/SR2BriQ_844 via 
@YouTube",[],['YouTube'],[],[],https://twitter.com/TPrux/status/1501331337403420673,
1501319725695049728,eloahnoguchi,Yelloah,https://pbs.twimg.com/profile_images/1031002908911915009/gAhrOZjg_normal.jpg,0,0,0,False,2022-03-08T22:11:30+00:00,Péssimo dia pra ter as ações da petr4,[],[],[],[],https://twitter.com/eloahnoguchi/status/1501319725695049728,
1501319583965368322,CarliniCarter,Carter,https://pbs.twimg.com/profile_images/1465878966615650304/9JH37ct1_normal.jpg,1,1,0,True,2022-03-08T22:10:56+00:00,PETR4 caiu quase 6% de lá para cá. É esse grande short que estavam anunciando ou tem mais faca?,[],[],['https://pbs.twimg.com/media/FNXCIFSX0Akfh0z?format=png&name=small'],[],https://twitter.com/CarliniCarter/status/1501319583965368322,
1501315120290430977,Dgermanovix,Daniel B. Germanovix,https://pbs.twimg.com/profile_images/1395126265733070851/6Pj-QjEE_normal.jpg,0,0,8,False,2022-03-08T21:53:12+00:00,#PETR4 : *GOV QUER CORTAR IMPOSTO FRETE P/REDUZIR CUSTO COMBUSTÍVEL,['PETR4'],[],[],[],https://twitter.com/Dgermanovix/status/1501315120290430977,
1501706166518398977,intraday_watch,Intraday Watch,https://pbs.twimg.com/profile_images/1388092815176085505/3A5aFepY_normal.jpg,0,0,0,False,2022-03-09T23:47:05+00:00,"As 5 ações  mais negociadas hoje (9/03/2022) foram

1 VALE3 3848.97 -6.24% (R$94.19) 
2 PETR4 2829.46 0.31% (R$32.56) 
3 PRIO3 1289.07 -6.44% (R$26.14) 
4 ITUB4 1288.28 4.98% (R$25.1) 
5 BBDC4 1172.03 6.41% (R$20.92)",[],[],[],[],https://twitter.com/intraday_watch/status/1501706166518398977,
